Iteration	Posterior	Likelihood	Prior	ratePrior	y[1]	y[2]	y[3]	y[4]	y[5]	y[6]	y[7]	y[8]	y[9]	y[10]
1340	-24.79839	-22.36722	-2.43117	3.753988	2	2	5	5	6	5	1	3	9	5
1350	-26.67015	-23.02566	-3.644482	5.315019	2	2	5	5	6	5	1	3	9	5
1360	-26.55908	-22.9481	-3.610984	5.273719	2	2	5	5	6	5	1	3	9	5
1370	-25.17227	-22.09279	-3.079482	4.607075	2	2	5	5	6	5	1	3	9	5
1380	-24.82229	-21.98821	-2.834089	4.29049	2	2	5	5	6	5	1	3	9	5
1390	-25.50891	-22.26916	-3.239745	4.810558	2	2	5	5	6	5	1	3	9	5
1400	-24.7474	-22.01022	-2.737176	4.163542	2	2	5	5	6	5	1	3	9	5
1410	-25.18088	-22.09677	-3.084111	4.612986	2	2	5	5	6	5	1	3	9	5
1420	-24.80579	-22.38199	-2.423801	3.743939	2	2	5	5	6	5	1	3	9	5
1430	-25.18359	-22.09803	-3.085565	4.614843	2	2	5	5	6	5	1	3	9	5
1440	-24.86508	-21.99028	-2.8748	4.343474	2	2	5	5	6	5	1	3	9	5
1450	-24.71562	-22.06104	-2.654581	4.054379	2	2	5	5	6	5	1	3	9	5
1460	-24.81538	-22.40068	-2.414703	3.731519	2	2	5	5	6	5	1	3	9	5
1470	-24.83288	-21.98812	-2.844754	4.304389	2	2	5	5	6	5	1	3	9	5
1480	-25.19484	-22.10329	-3.091543	4.622472	2	2	5	5	6	5	1	3	9	5
1490	-25.19248	-22.10219	-3.090296	4.620881	2	2	5	5	6	5	1	3	9	5
1500	-24.76327	-22.00064	-2.762629	4.196998	2	2	5	5	6	5	1	3	9	5
1510	-24.80599	-22.38237	-2.423612	3.743681	2	2	5	5	6	5	1	3	9	5
1520	-25.39276	-23.26096	-2.131801	3.33682	2	2	5	5	6	5	1	3	9	5
1530	-25.28333	-23.11463	-2.168706	3.389342	2	2	5	5	6	5	1	3	9	5
1540	-24.85212	-21.98903	-2.863095	4.328261	2	2	5	5	6	5	1	3	9	5
1550	-24.86561	-22.49245	-2.37315	3.674593	2	2	5	5	6	5	1	3	9	5
1560	-24.80346	-22.37737	-2.426091	3.747063	2	2	5	5	6	5	1	3	9	5
1570	-25.29538	-23.13094	-2.164447	3.383297	2	2	5	5	6	5	1	3	9	5
1580	-25.95709	-23.97343	-1.98366	3.122196	2	2	5	5	6	5	1	3	9	5
1590	-24.7192	-22.16077	-2.558436	3.926077	2	2	5	5	6	5	1	3	9	5
1600	-24.71905	-22.16004	-2.559004	3.926838	2	2	5	5	6	5	1	3	9	5
1610	-24.90123	-22.5532	-2.348037	3.640029	2	2	5	5	6	5	1	3	9	5
1620	-24.87258	-22.50457	-2.368004	3.667519	2	2	5	5	6	5	1	3	9	5
1630	-24.72259	-22.1752	-2.547392	3.911248	2	2	5	5	6	5	1	3	9	5
1640	-24.80128	-22.37302	-2.428259	3.75002	2	2	5	5	6	5	1	3	9	5
1650	-24.97275	-22.66821	-2.304543	3.57987	2	2	5	5	6	5	1	3	9	5
1660	-24.87712	-21.99185	-2.885267	4.357066	2	2	5	5	6	5	1	3	9	5
1670	-25.4309	-23.31112	-2.119785	3.319642	2	2	5	5	6	5	1	3	9	5
1680	-24.7795	-22.32786	-2.451646	3.781863	2	2	5	5	6	5	1	3	9	5
1690	-25.18167	-22.09713	-3.084535	4.613528	2	2	5	5	6	5	1	3	9	5
1700	-25.51782	-23.42404	-2.093778	3.282332	2	2	5	5	6	5	1	3	9	5
1710	-24.95521	-22.64069	-2.314525	3.59371	2	2	5	5	6	5	1	3	9	5
1720	-24.7355	-22.02127	-2.714233	4.133312	2	2	5	5	6	5	1	3	9	5
1730	-25.92013	-23.92827	-1.991863	3.134254	2	2	5	5	6	5	1	3	9	5
1740	-27.06707	-25.27744	-1.789624	2.829847	2	2	5	5	6	5	1	3	9	5
1750	-25.81901	-23.80384	-2.015165	3.168387	2	2	5	5	6	5	1	3	9	5
1760	-24.73538	-22.21869	-2.516688	3.869922	2	2	5	5	6	5	1	3	9	5
1770	-24.81466	-21.98856	-2.826093	4.280059	2	2	5	5	6	5	1	3	9	5
1780	-24.78195	-21.99378	-2.788163	4.230478	2	2	5	5	6	5	1	3	9	5
1790	-26.83741	-25.01392	-1.823488	2.881958	2	2	5	5	6	5	1	3	9	5
1800	-25.24165	-23.05778	-2.183868	3.410821	2	2	5	5	6	5	1	3	9	5
1810	-24.72962	-22.20055	-2.529068	3.886604	2	2	5	5	6	5	1	3	9	5
1820	-24.73069	-22.0273	-2.703385	4.118995	2	2	5	5	6	5	1	3	9	5
1830	-24.94107	-22.00524	-2.93583	4.422546	2	2	5	5	6	5	1	3	9	5
1840	-24.76208	-22.00121	-2.760875	4.194695	2	2	5	5	6	5	1	3	9	5
1850	-24.88249	-22.52159	-2.360895	3.657741	2	2	5	5	6	5	1	3	9	5
1860	-24.7119	-22.08694	-2.624965	4.015004	2	2	5	5	6	5	1	3	9	5
1870	-27.39301	-25.64754	-1.745465	2.761091	2	2	5	5	6	5	1	3	9	5
1880	-25.29816	-23.13469	-2.163473	3.381915	2	2	5	5	6	5	1	3	9	5
1890	-24.71174	-22.10565	-2.606092	3.989844	2	2	5	5	6	5	1	3	9	5
1900	-24.71698	-22.14982	-2.567158	3.937774	2	2	5	5	6	5	1	3	9	5
1910	-25.01668	-22.73559	-2.281089	3.547266	2	2	5	5	6	5	1	3	9	5
1920	-25.63328	-22.34199	-3.29129	4.875516	2	2	5	5	6	5	1	3	9	5
1930	-24.73075	-22.20425	-2.526493	3.883137	2	2	5	5	6	5	1	3	9	5
1940	-24.80668	-21.98924	-2.817436	4.268759	2	2	5	5	6	5	1	3	9	5
1950	-25.24758	-22.12876	-3.11882	4.657244	2	2	5	5	6	5	1	3	9	5
1960	-24.82841	-21.9881	-2.840306	4.298594	2	2	5	5	6	5	1	3	9	5
1970	-25.29988	-23.13701	-2.16287	3.381059	2	2	5	5	6	5	1	3	9	5
1980	-24.86638	-21.99044	-2.875943	4.34496	2	2	5	5	6	5	1	3	9	5
1990	-24.84864	-22.46241	-2.386231	3.692547	2	2	5	5	6	5	1	3	9	5
2000	-24.92134	-22.00033	-2.921006	4.403377	2	2	5	5	6	5	1	3	9	5
2010	-24.86808	-21.99064	-2.877441	4.346905	2	2	5	5	6	5	1	3	9	5
2020	-24.72456	-22.18282	-2.541748	3.903663	2	2	5	5	6	5	1	3	9	5
2030	-24.92349	-22.58983	-2.333654	3.620177	2	2	5	5	6	5	1	3	9	5
2040	-24.73437	-22.02258	-2.711789	4.130087	2	2	5	5	6	5	1	3	9	5
2050	-25.48674	-22.25652	-3.230214	4.798522	2	2	5	5	6	5	1	3	9	5
2060	-27.91967	-23.93722	-3.982446	5.727772	2	2	5	5	6	5	1	3	9	5
2070	-26.16878	-22.68226	-3.486519	5.119595	2	2	5	5	6	5	1	3	9	5
2080	-24.87509	-21.99156	-2.883524	4.354804	2	2	5	5	6	5	1	3	9	5
2090	-24.72355	-22.0391	-2.684451	4.093965	2	2	5	5	6	5	1	3	9	5
2100	-24.88073	-21.99239	-2.888337	4.36105	2	2	5	5	6	5	1	3	9	5
2110	-24.79332	-21.99118	-2.80214	4.248769	2	2	5	5	6	5	1	3	9	5
2120	-24.93236	-22.60421	-2.328152	3.612572	2	2	5	5	6	5	1	3	9	5
2130	-24.82834	-21.9881	-2.840239	4.298507	2	2	5	5	6	5	1	3	9	5
2140	-26.039	-24.07297	-1.96603	3.096208	2	2	5	5	6	5	1	3	9	5
2150	-26.15203	-24.20919	-1.942835	3.061856	2	2	5	5	6	5	1	3	9	5
2160	-24.83289	-22.43371	-2.399184	3.710295	2	2	5	5	6	5	1	3	9	5
2170	-24.81213	-22.39439	-2.417735	3.73566	2	2	5	5	6	5	1	3	9	5
2180	-24.79025	-21.99179	-2.79846	4.243956	2	2	5	5	6	5	1	3	9	5
2190	-25.00968	-22.02632	-2.983362	4.483842	2	2	5	5	6	5	1	3	9	5
2200	-25.92885	-23.93894	-1.989912	3.131388	2	2	5	5	6	5	1	3	9	5
2210	-24.85066	-22.46603	-2.384631	3.690353	2	2	5	5	6	5	1	3	9	5
2220	-25.74956	-23.7176	-2.031966	3.192893	2	2	5	5	6	5	1	3	9	5
2230	-24.71882	-22.05025	-2.668568	4.072931	2	2	5	5	6	5	1	3	9	5
2240	-24.77754	-22.3236	-2.45394	3.784981	2	2	5	5	6	5	1	3	9	5
2250	-24.9232	-22.00077	-2.922428	4.405218	2	2	5	5	6	5	1	3	9	5
2260	-24.71165	-22.09325	-2.618402	4.00626	2	2	5	5	6	5	1	3	9	5
2270	-24.83268	-21.98812	-2.844556	4.304131	2	2	5	5	6	5	1	3	9	5
2280	-24.71161	-22.09527	-2.616347	4.003521	2	2	5	5	6	5	1	3	9	5
2290	-24.74851	-22.25518	-2.493331	3.838383	2	2	5	5	6	5	1	3	9	5
2300	-24.87443	-22.50778	-2.366655	3.665665	2	2	5	5	6	5	1	3	9	5
2310	-26.19523	-24.26095	-1.934287	3.049149	2	2	5	5	6	5	1	3	9	5
2320	-24.7232	-22.0398	-2.683406	4.092582	2	2	5	5	6	5	1	3	9	5
2330	-26.29779	-22.76883	-3.528953	5.172264	2	2	5	5	6	5	1	3	9	5
2340	-25.26492	-22.13739	-3.127532	4.668335	2	2	5	5	6	5	1	3	9	5
2350	-24.91355	-21.99857	-2.914984	4.395584	2	2	5	5	6	5	1	3	9	5
2360	-24.75211	-22.26438	-2.487725	3.830798	2	2	5	5	6	5	1	3	9	5
2370	-24.80363	-21.98959	-2.814041	4.264325	2	2	5	5	6	5	1	3	9	5
2380	-24.71416	-22.13266	-2.581498	3.956979	2	2	5	5	6	5	1	3	9	5
2390	-24.92538	-22.00129	-2.924089	4.407367	2	2	5	5	6	5	1	3	9	5
2400	-24.961	-22.01077	-2.950228	4.441139	2	2	5	5	6	5	1	3	9	5
2410	-25.27976	-22.14487	-3.134894	4.6777	2	2	5	5	6	5	1	3	9	5
2420	-26.0542	-22.60662	-3.447575	5.07114	2	2	5	5	6	5	1	3	9	5
2430	-24.71675	-22.05678	-2.659972	4.061533	2	2	5	5	6	5	1	3	9	5
2440	-25.13621	-22.07655	-3.059655	4.581732	2	2	5	5	6	5	1	3	9	5
2450	-24.87132	-21.99105	-2.880265	4.350572	2	2	5	5	6	5	1	3	9	5
2460	-24.7655	-22.29662	-2.468875	3.805259	2	2	5	5	6	5	1	3	9	5
2470	-24.79709	-21.99052	-2.806574	4.254567	2	2	5	5	6	5	1	3	9	5
2480	-25.49043	-23.38865	-2.10178	3.293831	2	2	5	5	6	5	1	3	9	5
2490	-25.78704	-22.43584	-3.351197	4.950733	2	2	5	5	6	5	1	3	9	5
2500	-25.54716	-22.29123	-3.255931	4.83098	2	2	5	5	6	5	1	3	9	5
2510	-25.3458	-22.17909	-3.166705	4.718114	2	2	5	5	6	5	1	3	9	5
2520	-25.61387	-22.33043	-3.283444	4.865643	2	2	5	5	6	5	1	3	9	5
2530	-24.85086	-21.98893	-2.861931	4.326747	2	2	5	5	6	5	1	3	9	5
