Iteration	Posterior	Likelihood	Prior	r1	r2
29800	-98.40156	-98.45699	0.05543698	0.131144	0.5342847
30000	-101.3956	-98.72157	-2.674028	0.4433461	1.586815
30200	-99.27242	-98.78417	-0.4882475	0.2069636	0.7303073
30400	-98.79077	-98.4671	-0.3236751	0.1651823	0.6898025
30600	-99.63928	-98.60966	-1.029611	0.2575321	0.9504204
30800	-97.38407	-98.51639	1.132324	0.02630028	0.1006851
31000	-100.9157	-99.45683	-1.45887	0.226481	1.196101
31200	-100.0797	-98.47737	-1.602312	0.2861983	1.208105
31400	-98.35407	-98.50075	0.1466816	0.1274914	0.492315
31600	-98.09805	-98.47231	0.374255	0.09729645	0.4087232
31800	-98.71282	-99.19116	0.4783349	0.07462413	0.3793556
32000	-99.35731	-99.71888	0.361569	0.1253948	0.3869679
32200	-99.08515	-98.61138	-0.4737671	0.1690493	0.7609815
32400	-102.0246	-99.29713	-2.727463	0.3336382	1.723241
32600	-101.5247	-98.45883	-3.065921	0.4351914	1.790917
32800	-100.147	-99.06897	-1.078053	0.2831649	0.949009
33000	-98.70681	-99.31404	0.6072327	0.09194455	0.2975863
33200	-98.7921	-99.28222	0.490116	0.1054273	0.3426619
33400	-101.1895	-99.05375	-2.135705	0.2949133	1.466087
33600	-100.2747	-100.4544	0.1796159	0.1555099	0.4478294
33800	-97.70184	-98.60207	0.9002321	0.04428774	0.1987434
34000	-98.47281	-98.49085	0.01803344	0.1299161	0.5542143
34200	-97.48274	-98.51849	1.035746	0.03284446	0.1424295
34400	-100.47	-98.47694	-1.993083	0.342875	1.346813
34600	-99.24363	-98.47062	-0.7730135	0.2180097	0.8616443
34800	-97.79695	-98.88553	1.08858	0.03339305	0.115464
35000	-102.6314	-98.68288	-3.948495	0.578117	2.089277
35200	-98.80957	-99.23149	0.4219176	0.07885318	0.4033352
35400	-99.37472	-98.46964	-0.9050781	0.231146	0.9145403
35600	-100.5697	-99.11136	-1.45836	0.2362911	1.186036
35800	-99.81144	-98.60239	-1.209049	0.2364548	1.061217
36000	-99.79963	-98.7337	-1.065931	0.2683612	0.9577514
36200	-99.02498	-98.86414	-0.1608404	0.1334106	0.6401568
36400	-100.0412	-98.47702	-1.564204	0.299378	1.175871
36600	-100.2079	-98.56497	-1.642942	0.2790712	1.235547
36800	-97.78641	-98.54976	0.7633522	0.06529095	0.2461801
37000	-100.1572	-98.46874	-1.688512	0.2965458	1.240857
37200	-97.83695	-98.74702	0.910073	0.04195718	0.1961535
37400	-97.92492	-98.60892	0.6839941	0.0748502	0.2763
37600	-98.52608	-99.16797	0.6418877	0.0865167	0.2856866
37800	-100.1399	-100.4454	0.3054244	0.07829949	0.4621355
38000	-102.8035	-100.3007	-2.502863	0.4963312	1.448247
38200	-99.9917	-98.54337	-1.448328	0.296473	1.120838
38400	-101.8839	-99.17167	-2.712187	0.3377058	1.711535
38600	-97.32757	-98.62779	1.300225	0.007788643	0.03524613
38800	-97.98287	-98.66217	0.6793086	0.06343936	0.2900535
39000	-100.5092	-98.46007	-2.049127	0.3425964	1.375114
39200	-102.156	-101.6127	-0.5432488	0.1280638	0.8367078
39400	-101.588	-98.99878	-2.589174	0.3355587	1.652175
39600	-97.34229	-98.54785	1.205567	0.01674492	0.07361869
39800	-98.74417	-98.55729	-0.1868733	0.1452922	0.6412916
40000	-99.01948	-98.56822	-0.4512616	0.1691117	0.7496663
40200	-102.46	-98.67511	-3.784927	0.4626357	2.122975
40400	-98.32364	-98.55665	0.2330096	0.1065361	0.4701063
40600	-99.20389	-98.57254	-0.6313476	0.1854344	0.8233866
40800	-98.65017	-99.52682	0.8766481	0.06136195	0.1934612
41000	-100.179	-98.78714	-1.391827	0.2428732	1.146187
41200	-98.77354	-98.53014	-0.2434042	0.1696619	0.6451874
41400	-100.1137	-98.50706	-1.606668	0.2818439	1.214637
41600	-98.77695	-98.49158	-0.2853701	0.1586586	0.6771736
41800	-102.9077	-99.12862	-3.779122	0.4280617	2.154647
42000	-98.00297	-98.45786	0.4548945	0.09239644	0.3733035
42200	-102.6473	-99.68969	-2.957647	0.3372563	1.834714
42400	-99.52015	-98.67241	-0.8477438	0.2415741	0.875445
42600	-98.66177	-98.61107	-0.05069968	0.1306102	0.5878868
42800	-102.9509	-102.7349	-0.216063	0.09895449	0.7022242
43000	-99.76593	-99.08371	-0.6822189	0.2381	0.7961566
43200	-98.3593	-98.56917	0.2098752	0.1240403	0.4641693
43400	-99.37847	-98.87856	-0.4999083	0.1622535	0.7808478
43600	-98.07042	-98.45943	0.3890088	0.0993303	0.3993125
43800	-99.58899	-98.56504	-1.023949	0.2220407	0.9830812
44000	-100.3905	-99.82293	-0.5675832	0.1496845	0.8272543
44200	-100.573	-98.63124	-1.941732	0.3008963	1.363117
44400	-98.37051	-98.65243	0.281914	0.09932848	0.4528617
44600	-97.9809	-98.47162	0.4907175	0.0861497	0.3616388
44800	-99.49681	-99.31554	-0.181262	0.1850302	0.598748
45000	-99.63908	-99.58748	-0.05159636	0.1740408	0.5449045
45200	-97.63929	-98.45705	0.8177667	0.05615574	0.2281081
45400	-100.2127	-98.51766	-1.694992	0.2888011	1.251842
45600	-101.1342	-98.76177	-2.372439	0.4134068	1.46596
45800	-99.26065	-99.0734	-0.1872474	0.1313945	0.6553764
